  TimeWindow  Iteration  ResRel(Solid-Mesh:Displacement)  ResRel(Solid-Mesh:Force)
   254       1   6.78940501e-02   2.66014092e-02
   254       2   5.72792360e-08   1.21334086e-04
   255       1   7.28320928e-02   2.61634558e-02
   255       2   9.40142744e-08   7.38961925e-04
   256       1   7.86408016e-02   2.61580081e-02
   256       2   1.98606645e-07   5.53041628e-04
   257       1   8.08620395e-02   2.67685918e-02
   257       2   3.19195527e-08   9.58858952e-05
   258       1   8.01796215e-02   2.55896791e-02
   258       2   2.71115968e-07   2.79255567e-04
   259       1   8.05391828e-02   2.32544432e-02
   259       2   2.49370763e-07   5.17329555e-04
   260       1   8.00888986e-02   2.19215307e-02
   260       2   8.93108793e-08   2.10130529e-04
   261       1   7.48955893e-02   2.04334481e-02
   261       2   2.05165421e-07   4.40633985e-04
   262       1   6.90544893e-02   1.74109882e-02
   262       2   1.25973501e-07   2.03763616e-04
   263       1   6.44672912e-02   1.48938227e-02
   263       2   6.45288982e-08   2.13349414e-04
   264       1   5.57529138e-02   1.35355279e-02
   264       2   1.42608179e-07   4.27601438e-04
   265       1   4.10982136e-02   1.11362330e-02
   265       2   1.18132243e-07   2.07468162e-04
   266       1   2.63470953e-02   7.65952376e-03
   266       2   1.84023855e-07   1.98965124e-04
   267       1   1.22098368e-02   5.12934620e-03
   267       2   5.44524293e-07   3.70099877e-04
   268       1   1.32683326e-02   2.75170201e-03
   268       2   1.22681573e-06   9.04013225e-04
   269       1   3.23654792e-02   1.92808932e-03
   269       2   2.76056631e-07   4.84190848e-04
   270       1   4.21932829e-02   5.67264592e-03
   270       2   3.15975410e-07   3.38069329e-04
   271       1   5.14000803e-02   7.65400314e-03
   271       2   6.27172983e-07   8.35172336e-04
   272       1   6.07428941e-02   9.99441391e-03
   272       2   5.17020870e-07   6.48136653e-04
   273       1   6.56087090e-02   1.31917282e-02
   273       2   1.36216051e-07   1.09618925e-04
   274       1   6.80052886e-02   1.51293662e-02
   274       2   2.36638036e-07   2.89407322e-04
   275       1   7.12349378e-02   1.62948516e-02
   275       2   6.03384824e-07   7.09489796e-04
   276       1   7.36798666e-02   1.86733437e-02
   276       2   3.21285002e-08   2.29923520e-04
   277       1   7.24084721e-02   2.12028178e-02
   277       2   7.52768316e-08   1.39388108e-04
   278       1   7.06507863e-02   2.21729967e-02
   278       2   1.77680878e-07   5.05797295e-04
   279       1   6.92205425e-02   2.31192480e-02
   279       2   2.84921820e-08   3.88702726e-04
   280       1   6.52259410e-02   2.47987667e-02
   280       2   3.25676074e-08   3.19921642e-04
   281       1   5.94996733e-02   2.51614540e-02
   281       2   2.30234549e-08   1.27573347e-04
   282       1   5.52627738e-02   2.41138702e-02
   282       2   7.82346583e-08   3.61956585e-04
   283       1   5.17309664e-02   2.37959715e-02
   283       2   4.10393574e-08   2.25996748e-04
   284       1   4.68056414e-02   2.37742790e-02
   284       2   3.86284657e-08   5.45674694e-04
   285       1   4.22256244e-02   2.23325629e-02
   285       2   3.33084767e-08   5.99749369e-05
   286       1   3.89845750e-02   2.07388993e-02
   286       2   3.37395047e-08   1.38010571e-04
   287       1   3.51969228e-02   2.02175172e-02
   287       2   6.89841898e-08   6.60528499e-04
   288       1   2.97409198e-02   1.90362468e-02
   288       2   6.14148932e-08   3.90886577e-04
   289       1   2.48089542e-02   1.63467162e-02
   289       2   3.09856224e-08   1.91177914e-04
   290       1   2.03913032e-02   1.40941039e-02
   290       2   3.91461816e-08   2.14712575e-04
   291       1   1.49734171e-02   1.22968221e-02
   291       2   8.70585041e-08   4.74900849e-04
   292       1   1.01254716e-02   9.22359963e-03
   292       2   8.82732439e-08   1.28692677e-04
   293       1   6.08831364e-03   5.93362802e-03
   293       2   2.30388376e-08   1.70649026e-04
   294       1   2.60426903e-03   3.82956973e-03
   295       1   3.77697737e-03   1.67051855e-03
   296       1   8.25238060e-03   3.24987548e-03
   296       2   9.06281094e-07   6.16690758e-04
   297       1   1.21077130e-02   4.04287455e-03
   297       2   1.94696717e-07   2.50376803e-04
   298       1   1.66746246e-02   6.55403808e-03
   298       2   3.44916969e-08   3.94930138e-04
